contig_id	mean_contig	cluster_id	nucl_freq.gc	length	NA	color
NODE_1_length_1449587_cov_95.650815	154.477541666667	4	61.1949472504927	1449587	1other	1other
NODE_10_length_590766_cov_99.677441	160.671254237288	36	68.6185393201369	590766	1other	1other
NODE_100_length_220731_cov_74.501355	121.384090909091	22	49.5884130457435	220731	ascomycete	ascomycete
NODE_1000_length_37571_cov_22.135089	34.518	34	51.9283489925741	37571	1other	1other
NODE_10000_length_1949_cov_2.964097	5.138	2	63.3145202668035	1949	1other	1other
NODE_10001_length_1949_cov_2.792503	5.537	14	57.3627501282709	1949	1other	1other
NODE_10002_length_1949_cov_2.687962	6.911	14	65.9825551564905	1949	1other	1other
NODE_10003_length_1949_cov_2.352165	4.112	12	74.3971267316573	1949	1other	1other
NODE_10004_length_1949_cov_2.150475	3.825	2	68.0861980502822	1949	1other	1other
NODE_10005_length_1949_cov_1.833157	2.988	16	60.5951770138533	1949	1other	1other
NODE_10006_length_1948_cov_4.120444	8.174	38	68.3264887063655	1948	1other	1other
NODE_10007_length_1948_cov_3.705758	9.053	12	70.1232032854209	1948	1other	1other
NODE_10008_length_1948_cov_3.015848	5.292	14	65.5544147843943	1948	1other	1other
NODE_10009_length_1948_cov_2.932911	5.207	14	63.347022587269	1948	1other	1other
NODE_1001_length_37515_cov_20.329979	32.746	34	51.806425809892	37515	1other	1other
NODE_10010_length_1948_cov_2.806128	6.051	14	67.3890608875129	1948	1other	1other
NODE_10011_length_1948_cov_2.404649	4.231	12	72.3305954825462	1948	1other	1other
NODE_10012_length_1948_cov_2.260961	4.426	38	68.3694530443756	1948	1other	1other
NODE_10013_length_1948_cov_1.905441	3.265	38	67.299794661191	1948	1other	1other
NODE_10014_length_1947_cov_4.133721	7.831	38	69.3374422187981	1947	1other	1other
NODE_10015_length_1947_cov_3.904334	6.601	14	57.3703133025167	1947	1other	1other
NODE_10016_length_1947_cov_3.607294	6.652	2	63.7390857729841	1947	1other	1other
NODE_10017_length_1947_cov_3.174419	5.16	14	58.2948125321007	1947	1other	1other
NODE_10018_length_1947_cov_3.052326	5.921	38	68.5670261941448	1947	1other	1other
NODE_10019_length_1947_cov_2.751057	4.611	14	62.2612287041817	1947	1other	1other
NODE_1002_length_37488_cov_28.857879	46.1526666666667	25	70.795442387932	37488	1other	1other
NODE_10020_length_1947_cov_2.492072	4.837	38	68.7211093990755	1947	1other	1other
NODE_10021_length_1947_cov_2.021142	3.615	2	68.508002065049	1947	1other	1other
NODE_10022_length_1946_cov_4.049180	7.066	38	61.2538540596095	1946	1other	1other
NODE_10023_length_1946_cov_3.939714	6.609	14	66.7523124357657	1946	1other	1other
NODE_10024_length_1946_cov_2.859863	8.706	20	19.3730729701953	1946	1other	1other
NODE_10025_length_1946_cov_2.332628	5.259	38	68.5508735868448	1946	1other	1other
NODE_10026_length_1946_cov_2.147012	3.59	14	55.9917355371901	1946	1other	1other
NODE_10027_length_1945_cov_3.595767	6.624	38	68.9460154241645	1945	1other	1other
NODE_10028_length_1945_cov_3.022751	5.166	14	63.9074550128535	1945	1other	1other
NODE_10029_length_1945_cov_2.976190	5.085	14	55.8868894601542	1945	1other	1other
NODE_1003_length_37459_cov_30.169902	44.6103333333333	34	51.4272744265534	37459	1other	1other
NODE_10030_length_1945_cov_2.842857	4.776	38	70.8010335917313	1945	1other	1other
NODE_10031_length_1945_cov_2.443386	4.346	14	63.2041343669251	1945	1other	1other
NODE_10032_length_1944_cov_3.536792	5.752	14	60.082304526749	1944	1other	1other
NODE_10033_length_1944_cov_3.281101	5.625	14	62.2026887280248	1944	1other	1other
NODE_10034_length_1944_cov_3.207517	6.008	14	66.4094650205761	1944	1other	1other
NODE_10035_length_1944_cov_2.164637	3.885	12	71.0961737331955	1944	1other	1other
NODE_10036_length_1944_cov_1.771837	3.515	14	56.4814814814815	1944	1other	1other
NODE_10037_length_1943_cov_4.147775	6.87	14	63.8188368502316	1943	1other	1other
NODE_10038_length_1943_cov_3.199153	6.628	38	71.1785898095728	1943	1other	1other
NODE_10039_length_1943_cov_3.113877	5.217	2	64.076170869789	1943	1other	1other
NODE_1004_length_37424_cov_28.018411	45.2316666666667	25	70.3639375801625	37424	1other	1other
NODE_10040_length_1943_cov_2.904131	6.086	14	60.8852290272774	1943	1other	1other
NODE_10041_length_1943_cov_2.841102	4.71	38	67.3946957878315	1943	1other	1other
NODE_10042_length_1943_cov_2.644597	4.539	38	64.6145887221935	1943	1other	1other
NODE_10043_length_1943_cov_2.574682	4.389	12	73.3401955738549	1943	1other	1other
NODE_10044_length_1943_cov_2.231992	4.953	38	66.5287118468702	1943	1other	1other
NODE_10045_length_1943_cov_2.041314	3.977	30	60.1132269686052	1943	1other	1other
